year,gb_tas,dv_tas,gb_pr,dv_pr
1950,9.6108,14.0889,22.3988,29.1339
1951,9.3357,13.9293,26.0423,24.2561
1952,9.1325,14.3276,20.4558,16.6546
1953,9.4913,14.1659,29.1829,25.2506
1954,9.1874,14.301,18.0148,12.8914
1955,9.3036,15.1553,12.9202,5.1988
1956,9.1264,13.9068,28.5506,24.8208
1957,9.4681,14.8306,20.1243,13.7221
1958,9.1513,14.1064,23.72,10.5638
1959,8.9486,14.3517,24.9687,13.7603
1960,9.1706,14.3968,22.7732,23.9231
1961,10.1868,15.0075,22.8779,14.4466
1962,9.0179,13.8213,32.5744,32.7741
1963,9.7555,14.7721,21.1967,17.5725
1964,9.3388,14.3363,23.7563,23.2048
1965,9.8141,14.7462,26.3584,18.653
1966,9.5058,14.6705,17.3522,9.1159
1967,9.622,15.0654,12.5638,9.214
1968,8.4902,13.846,22.7203,15.0505
1969,9.8889,15.0587,24.6094,16.9147
1970,10.1108,14.6547,30.5737,32.8768
1971,9.653,13.9946,25.118,26.1618
1972,10.36,14.6612,23.272,34.6944
1973,9.8592,14.4894,17.6713,12.3797
1974,9.574,14.3938,23.3438,13.659
1975,10.1772,14.8374,25.2909,19.007
1976,9.7262,14.3846,29.6234,29.2314
1977,9.6667,14.6515,20.5309,19.6096
1978,8.7625,14.1159,19.471,16.1914
1979,8.7202,13.5159,36.4122,26.1755
1980,9.4429,13.9509,28.1331,23.4723
1981,9.4464,14.3024,26.4115,22.5255
1982,9.51,13.9998,31.5786,32.1198
1983,9.4561,14.2554,14.9628,13.3988
1984,9.617,14.4774,25.8449,18.6206
1985,9.9915,14.2748,31.6122,40.2871
1986,9.2926,13.4207,39.6686,45.8749
1987,9.5463,14.1175,26.0957,25.0064
1988,9.7711,14.7531,18.2555,18.6257
1989,9.5228,14.501,21.1173,19.9403
1990,10.3309,14.7682,23.9657,34.8442
1991,9.9094,14.8436,19.8443,18.7658
1992,8.9544,13.9596,18.5931,24.5413
1993,9.9555,14.3602,24.1668,28.033
1994,9.1923,13.8759,33.909,31.5971
1995,9.8682,14.2647,28.7659,33.1264
1996,11.3303,15.8214,20.5127,18.8419
1997,9.9734,15.0828,23.8385,19.5231
1998,9.9799,14.4894,23.5498,22.3557
1999,8.7172,13.8181,28.1735,25.2523
2000,9.5441,14.487,16.2939,19.7854
2001,10.1592,14.8954,22.7004,21.9218
2002,10.3522,15.0929,22.4177,17.5582
2003,10.3259,14.7304,27.9093,26.8738
2004,11.8358,16.6727,22.4458,15.8278
2005,10.8286,15.1533,19.0213,32.1243
2006,9.4361,14.2232,30.7122,25.5354
2007,11.0427,15.6381,24.998,22.6022
2008,10.8423,15.8794,20.9398,14.6878
2009,9.7117,14.5483,30.17,32.5929
2010,9.843,14.9187,27.7337,21.4632
2011,8.9741,13.9723,29.3098,25.6188
2012,10.3789,15.0717,20.6643,22.9689
2013,10.0826,15.1941,30.6182,25.3747
2014,10.4442,14.7688,25.5306,36.0158
