date,gb_spi,dv_spi
1950-12,-0.3064,0.8521
1951-01,0.357,1.0467
1951-02,0.9236,0.9744
1951-03,1.4447,1.3728
1951-04,1.369,1.1428
1951-05,1.1709,1.1431
1951-06,1.1817,1.1396
1951-07,1.1986,1.1383
1951-08,1.2039,1.1454
1951-09,1.2128,1.0259
1951-10,1.2611,1.0788
1951-11,1.1904,0.9471
1951-12,0.3754,0.325
1952-01,0.2626,0.8333
1952-02,0.0888,0.5417
1952-03,-0.9191,-0.5247
1952-04,-0.6688,-0.4578
1952-05,-0.5333,-0.4636
1952-06,-0.3583,-0.4536
1952-07,-0.3724,-0.4525
1952-08,-0.325,-0.4568
1952-09,-0.3337,-0.3863
1952-10,-0.5312,-0.4548
1952-11,-0.8693,-0.6363
1952-12,-0.7009,-0.6605
1953-01,-1.6613,-1.8712
1953-02,-1.3649,-1.3731
1953-03,-1.2415,-0.6467
1953-04,-1.2746,0.1879
1953-05,-1.4396,0.1917
1953-06,-1.16,0.1838
1953-07,-1.1482,0.1837
1953-08,-1.2121,0.2156
1953-09,-0.6737,0.1863
1953-10,-0.3795,0.1652
1953-11,-0.3212,0.2123
1953-12,0.9139,0.4378
1954-01,1.2656,0.58
1954-02,0.4813,0.2729
1954-03,0.6802,-0.1162
1954-04,0.7362,-0.9482
1954-05,0.623,-0.9199
1954-06,0.2361,-0.9157
1954-07,0.2567,-0.9139
1954-08,0.2573,-0.9696
1954-09,0.2431,-0.9967
1954-10,0.0342,-1.0119
1954-11,-0.0637,-1.1621
1954-12,-1.2343,-1.2674
1955-01,-1.3661,-1.2209
1955-02,-0.9788,-1.9761
1955-03,-1.2619,-2.752
1955-04,-1.6729,-2.8983
1955-05,-1.446,-2.711
1955-06,-1.4774,-2.709
1955-07,-1.5486,-2.7047
1955-08,-1.5531,-2.7179
1955-09,-2.0936,-2.7082
1955-10,-2.0126,-2.6502
1955-11,-2.0817,-2.7665
1955-12,-2.5333,-3.0904
1956-01,-1.8949,-1.4922
1956-02,-2.4473,-1.4478
1956-03,-1.7634,-0.7884
1956-04,-1.3451,-0.8391
1956-05,-1.0944,-0.8781
1956-06,-0.8825,-0.8754
1956-07,-0.8909,-0.8734
1956-08,-0.9001,-0.8502
1956-09,-0.9004,-0.8436
1956-10,-0.746,-0.6525
1956-11,-0.0029,-0.1006
1956-12,0.8087,0.3894
1957-01,0.686,0.0186
1957-02,1.0883,0.3859
1957-03,0.9057,-0.0101
1957-04,1.3164,0.1175
1957-05,1.0508,0.0561
1957-06,0.891,0.0591
1957-07,0.8949,0.059
1957-08,0.9009,0.0275
1957-09,0.868,0.0296
1957-10,0.7237,-0.1052
1957-11,0.0447,-0.842
1957-12,-0.7707,-1.1238
1958-01,-0.0571,-1.0095
1958-02,-0.3281,-1.6748
1958-03,-0.4849,-1.4768
1958-04,-0.9393,-1.3154
1958-05,-0.7963,-1.2658
1958-06,-0.6384,-1.2655
1958-07,-0.6473,-1.2547
1958-08,-0.6523,-1.268
1958-09,-0.3982,-1.2596
1958-10,-0.2424,-1.2268
1958-11,0.1057,-1.1552
1958-12,-0.0512,-1.7078
1959-01,-0.5364,-1.8563
1959-02,-0.1887,-0.8947
1959-03,-0.0637,-1.2251
1959-04,0.1881,-1.1753
1959-05,-0.1021,-1.2159
1959-06,-0.2622,-1.2164
1959-07,-0.2674,-1.2221
1959-08,-0.2711,-1.2344
1959-09,-0.4863,-1.1783
1959-10,-0.5307,-1.1488
1959-11,0.0919,-1.1673
1959-12,0.1815,-1.1173
1960-01,0.1213,0.0403
1960-02,-0.1242,-0.6073
1960-03,0.0422,-0.2118
1960-04,-0.3796,-0.353
1960-05,0.3516,-0.2803
1960-06,0.5691,-0.1774
1960-07,0.5833,-0.1755
1960-08,0.5856,-0.1781
1960-09,0.5457,-0.2128
1960-10,0.5476,-0.2054
1960-11,-0.2469,-0.2469
1960-12,-0.2331,0.2866
1961-01,-0.145,-0.4233
1961-02,-0.1674,-0.0642
1961-03,-0.5358,-0.4669
1961-04,-0.9759,-0.4567
1961-05,-1.178,-0.5285
1961-06,-1.471,-0.6399
1961-07,-1.5029,-0.6406
1961-08,-1.5078,-0.6134
1961-09,-1.0341,-0.5994
1961-10,-1.1002,-0.5663
1961-11,-0.2466,-0.6039
1961-12,-0.2127,-1.0034
1962-01,-0.6255,-1.061
1962-02,-0.8673,-1.7752
1962-03,-0.0293,-0.6266
1962-04,0.3879,-0.0172
1962-05,0.1742,0.1567
1962-06,0.3425,0.1873
1962-07,0.3448,0.1876
1962-08,0.3432,0.1584
1962-09,-0.1003,0.1535
1962-10,0.4357,0.2301
1962-11,0.518,0.4992
1962-12,1.4542,1.2088
1963-01,1.4651,1.4786
1963-02,2.0529,1.7761
1963-03,1.5902,1.4297
1963-04,1.6003,0.9235
1963-05,1.3643,0.7831
1963-06,1.2228,0.7622
1963-07,1.2361,0.7612
1963-08,1.2419,0.7653
1963-09,1.2574,0.7661
1963-10,1.0405,0.685
1963-11,0.0993,0.3537
1963-12,-0.5476,-0.5271
1964-01,-0.975,-1.3052
1964-02,-1.7764,-1.7187
1964-03,-1.157,-0.2479
1964-04,-1.1433,-0.1496
1964-05,0.2431,-0.1348
1964-06,0.2441,-0.1421
1964-07,0.2461,-0.1416
1964-08,0.2465,-0.1448
1964-09,0.2601,-0.1412
1964-10,0.3185,-0.0597
1964-11,0.4857,0.1072
1964-12,-0.0443,0.2025
1965-01,0.6338,0.5258
1965-02,1.1158,0.9147
1965-03,0.6372,-0.2089
1965-04,0.4987,-0.2855
1965-05,-0.2998,-0.2329
1965-06,-0.1861,-0.2317
1965-07,-0.1916,-0.231
1965-08,-0.161,-0.2349
1965-09,0.1061,-0.1931
1965-10,-0.181,-0.1496
1965-11,-0.1785,-0.3464
1965-12,0.4315,-0.376
1966-01,-0.1197,-0.2273
1966-02,-0.369,-0.673
1966-03,-0.6512,-1.0355
1966-04,-1.0225,-1.0323
1966-05,-0.8805,-1.1174
1966-06,-1.0247,-1.1157
1966-07,-1.0385,-1.1137
1966-08,-0.9871,-1.1239
1966-09,-1.3435,-1.1672
1966-10,-1.0343,-1.2897
1966-11,-0.9974,-1.5313
1966-12,-1.3875,-2.0178
1967-01,-1.0267,-2.1249
1967-02,-1.8401,-3.1761
1967-03,-1.3578,-2.4345
1967-04,-1.2741,-2.4041
1967-05,-2.1131,-2.4062
1967-06,-2.0125,-2.3954
1967-07,-2.0379,-2.3915
1967-08,-2.1509,-2.2148
1967-09,-2.1864,-2.2049
1967-10,-2.4854,-2.1665
1967-11,-2.1605,-2.1927
1967-12,-2.6367,-1.9957
1968-01,-2.1102,-1.8439
1968-02,-0.9398,-0.6877
1968-03,-0.8437,-1.1968
1968-04,-0.7552,-0.9809
1968-05,-0.5285,-0.9781
1968-06,-0.4193,-0.98
1968-07,-0.4258,-0.9765
1968-08,-0.4371,-1.1175
1968-09,-0.433,-1.1085
1968-10,-0.3749,-1.081
1968-11,-0.6735,-1.1721
1968-12,-0.2434,-0.9062
1969-01,-0.3289,-0.7911
1969-02,-0.7499,-1.5208
1969-03,-0.9697,-1.0975
1969-04,-0.6417,-1.2286
1969-05,-0.2289,-1.1271
1969-06,-0.4473,-1.1225
1969-07,-0.3968,-1.1222
1969-08,-0.4004,-1.1346
1969-09,-0.3574,-1.1254
1969-10,-0.4162,-1.0989
1969-11,-0.4417,-1.2529
1969-12,0.1153,-0.6222
1970-01,0.242,0.0496
1970-02,0.6647,0.6398
1970-03,1.4403,0.9386
1970-04,1.4147,0.9653
1970-05,1.2201,1.1271
1970-06,1.3256,1.1244
1970-07,1.2946,1.1231
1970-08,1.3006,1.1306
1970-09,1.27,1.1273
1970-10,1.4741,1.5267
1970-11,1.482,1.6296
1970-12,1.1402,1.2184
1971-01,1.252,1.0574
1971-02,0.7601,0.7379
1971-03,0.1286,0.7265
1971-04,-0.1256,0.6841
1971-05,0.2793,0.4513
1971-06,0.2383,0.4524
1971-07,0.2394,0.4522
1971-08,0.2399,0.4538
1971-09,0.2376,0.6324
