year,climate_zone,continent,mean_temp_C,mean_pr_mm_day,mean_spi
1850,Polar,Antarctica,-32.4931,0.5868,-0.0714
1850,Polar,Asia,-17.4769,0.4317,-0.3716
1850,Polar,Europe,-6.3608,1.537,-0.8082
1850,Polar,North America,-18.2287,0.636,-0.292
1850,Polar,Ocean / Unclassified,-19.2264,0.3138,-0.5259
1850,Temperate,Africa,19.6275,1.4715,0.3812
1850,Temperate,Antarctica,-2.5637,2.4071,0.3672
1850,Temperate,Asia,4.5573,1.8148,-0.1615
1850,Temperate,Australia-Oceania,15.907,1.8679,-0.3375
1850,Temperate,Europe,7.015,3.2477,-0.1641
1850,Temperate,North America,7.0093,3.1711,0.0361
1850,Temperate,Ocean / Unclassified,11.3425,2.5134,-0.041
1850,Temperate,South America,12.492,2.632,-0.6259
1850,Tropical,Africa,26.1273,1.9924,-0.1506
1850,Tropical,Asia,26.5949,6.3717,0.2286
1850,Tropical,Australia-Oceania,26.1981,4.535,-0.1011
1850,Tropical,North America,24.7239,3.0677,-0.0012
1850,Tropical,Ocean / Unclassified,25.7555,4.6502,-0.063
1850,Tropical,South America,25.1441,5.3848,0.1098
1851,Polar,Antarctica,-31.9789,0.7346,-0.2144
1851,Polar,Asia,-16.3183,0.8293,-0.2335
1851,Polar,Europe,-6.2336,1.6273,-0.5273
1851,Polar,North America,-18.907,0.7771,-0.4776
1851,Polar,Ocean / Unclassified,-19.1504,0.5029,-0.7653
1851,Temperate,Africa,19.3349,1.4467,0.0029
1851,Temperate,Antarctica,-2.703,2.3671,0.2867
1851,Temperate,Asia,4.7995,2.3351,-0.1717
1851,Temperate,Australia-Oceania,16.377,2.0942,-0.2599
1851,Temperate,Europe,7.9493,2.2846,-0.2286
1851,Temperate,North America,6.796,2.6848,0.1532
1851,Temperate,Ocean / Unclassified,11.3391,2.9567,-0.1804
1851,Temperate,South America,12.2937,2.5003,-0.1223
1851,Tropical,Africa,25.959,2.1437,-0.1873
1851,Tropical,Asia,26.7919,5.3185,0.1144
1851,Tropical,Australia-Oceania,26.2533,5.4023,-0.1216
1851,Tropical,North America,24.6806,3.1201,0.0709
1851,Tropical,Ocean / Unclassified,25.7486,4.2513,-0.014
1851,Tropical,South America,25.0693,4.1487,0.2453
1852,Polar,Antarctica,-32.3596,0.7743,0.3509
1852,Polar,Asia,-16.8525,0.9091,0.1513
1852,Polar,Europe,-5.4305,1.7784,-0.5066
1852,Polar,North America,-18.355,0.8182,0.1282
1852,Polar,Ocean / Unclassified,-19.219,0.512,-0.9355
1852,Temperate,Africa,19.6331,1.5733,-0.0023
1852,Temperate,Antarctica,-2.3773,2.3689,-0.3777
1852,Temperate,Asia,5.3209,2.3233,-0.1523
1852,Temperate,Australia-Oceania,16.3001,1.8981,-0.3851
1852,Temperate,Europe,8.2605,2.2902,-0.0588
1852,Temperate,North America,6.855,2.654,0.1364
1852,Temperate,Ocean / Unclassified,11.336,2.9376,-0.0198
1852,Temperate,South America,12.0964,2.497,0.3396
1852,Tropical,Africa,26.2334,2.155,0.1283
1852,Tropical,Asia,26.8636,4.9993,-0.2499
1852,Tropical,Australia-Oceania,26.2932,5.4956,-0.1897
1852,Tropical,North America,24.7075,2.7293,-0.0356
1852,Tropical,Ocean / Unclassified,26.1387,4.5967,-0.1029
1852,Tropical,South America,25.7185,4.016,-0.0521
1853,Polar,Antarctica,-31.784,0.7742,0.4987
1853,Polar,Asia,-16.6755,0.8448,0.2785
