year,country,continent,climate_zone,mean_temp_C,mean_pr_mm_day,mean_spi,n_cells
1850,Afghanistan,Asia,Temperate,14.1731,1.5293,-0.7059,3
1850,Albania,Europe,Temperate,17.0456,1.3955,-0.6039,1
1850,Algeria,Africa,Temperate,26.1076,0.1546,-0.6296,6
1850,American Samoa,Oceania,Tropical,26.5109,10.8495,0.2771,3
1850,Andorra,Europe,Temperate,14.3372,2.333,0.8364,3
1850,Angola,Africa,Tropical,24.0966,3.9065,-0.7955,10
1850,Antarctica,Antarctica,Polar,-34.3971,0.5159,-0.118,400
1850,Antarctica,Antarctica,Temperate,-2.388,2.316,0.0574,106
1850,Antigua and Barbuda,North America,Temperate,22.7776,0.958,-1.1829,3
1850,Antigua and Barbuda,North America,Tropical,24.1709,1.2262,-0.9645,2
1850,Argentina,South America,Temperate,11.7913,1.2356,-0.4154,7
1850,Armenia,Asia,Temperate,6.5478,3.3572,1.2728,1
1850,Aruba,North America,Tropical,26.1179,0.5871,-0.366,2
1850,Australia,Oceania,Temperate,14.4384,1.6272,-0.2017,77
1850,Australia,Oceania,Tropical,25.557,2.7142,-1.0042,7
1850,Austria,Europe,Temperate,6.5698,2.7922,1.0611,1
1850,Azerbaijan,Asia,Temperate,12.4472,1.3002,-0.2041,4
1850,Bahamas,North America,Temperate,21.5249,3.5643,0.1746,9
1850,Bahrain,Asia,Temperate,24.4101,2.0154,-0.7242,1
1850,Bangladesh,Asia,Temperate,24.5591,0.3541,-0.2018,2
1850,Bangladesh,Asia,Tropical,27.2208,0.1455,1.0025,2
1850,Barbados,North America,Tropical,24.8504,1.9769,0.1844,7
1850,Belarus,Europe,Temperate,1.3434,1.6164,-0.5386,6
1850,Belize,North America,Temperate,24.7807,1.8249,-1.1692,2
1850,Belize,North America,Tropical,26.2936,1.3782,-0.9583,2
1850,Benin,Africa,Tropical,28.3717,0.296,0.2389,2
1850,Bermuda,North America,Temperate,13.4189,4.789,0.3159,46
1850,Bhutan,Asia,Temperate,0.5484,0.5116,-1.041,4
1850,Bolivia,South America,Temperate,23.2454,0.5448,-0.8124,1
1850,Bolivia,South America,Tropical,23.331,4.1478,-0.7107,8
1850,Bosnia and Herzegovina,Europe,Temperate,12.5515,5.7018,1.5216,1
1850,Botswana,Africa,Temperate,20.0177,3.5682,0.9869,2
1850,Botswana,Africa,Tropical,22.4894,3.1462,1.7453,1
1850,Brazil,South America,Temperate,22.8061,2.8739,0.8267,5
1850,Brazil,South America,Tropical,25.2893,4.2477,0.0344,27
1850,British Virgin Islands,North America,Temperate,23.6141,1.0977,-0.9475,1
1850,British Virgin Islands,North America,Tropical,24.7258,0.9321,-0.8999,1
1850,Brunei,Asia,Tropical,26.7134,9.7699,0.599,5
1850,Bulgaria,Europe,Temperate,12.8622,2.3092,0.0818,2
1850,Burkina Faso,Africa,Tropical,29.2077,0.0401,0.1087,2
1850,Burundi,Africa,Tropical,23.5916,4.4006,-0.9198,2
1850,Cambodia,Asia,Tropical,26.974,4.5109,0.2489,2
1850,Cameroon,Africa,Tropical,27.3047,0.1679,-1.0268,2
1850,Canada,North America,Polar,-14.4122,0.5807,0.3104,42
1850,Canada,North America,Temperate,1.1811,3.0374,-0.1777,126
1850,Cape Verde,Africa,Temperate,20.5133,1.4079,-0.6721,10
1850,Cape Verde,Africa,Tropical,24.5511,2.5412,0.5898,21
1850,Cayman Islands,North America,Tropical,26.4846,1.7119,-1.0162,1
1850,Central African Republic,Africa,Tropical,27.3814,1.0925,0.2063,4
1850,Chad,Africa,Tropical,28.1472,0.0207,0.183,6
1850,Chile,South America,Temperate,14.7172,1.1794,0.0176,64
1850,China,Asia,Temperate,6.5712,0.6858,-0.7129,14
1850,Colombia,South America,Tropical,24.7084,2.6639,-0.0554,4
1850,Comoros,Africa,Tropical,26.6206,1.8659,-0.4172,5
1850,Cook Islands,Oceania,Temperate,16.5988,2.6728,0.3037,20
1850,Cook Islands,Oceania,Tropical,25.4795,7.4024,0.2212,5
1850,Costa Rica,North America,Tropical,26.0129,1.7033,-0.5281,6
1850,Cuba,North America,Tropical,26.2476,1.0487,-1.0943,1
1850,Cyprus,Europe,Temperate,18.5173,1.4558,-0.2994,3
1850,DR Congo,Africa,Tropical,26.8955,4.1946,-0.0675,3
1850,Denmark,Europe,Temperate,5.0629,3.6413,-0.4788,2
1850,Djibouti,Africa,Tropical,29.4385,0.7589,-1.4122,1
1850,Ecuador,South America,Tropical,25.2275,4.4581,-0.2514,15
1850,Egypt,Africa,Temperate,25.4331,0.1964,0.5926,5
1850,Egypt,Africa,Tropical,28.5444,0.0497,0.8123,2
1850,El Salvador,North America,Tropical,25.9368,2.7703,-0.1104,14
1850,Equatorial Guinea,Africa,Tropical,26.2083,2.8143,-0.8327,2
1850,Eritrea,Africa,Tropical,27.2858,0.3415,-0.4283,4
1850,Estonia,Europe,Temperate,-0.0053,1.5336,-0.7142,2
1850,Eswatini,Africa,Temperate,20.9448,2.0357,0.5259,8
1850,Ethiopia,Africa,Tropical,21.0617,0.6023,-0.6853,2
1850,Falkland Islands,South America,Polar,-8.693,1.4731,0.5117,32
1850,Falkland Islands,South America,Temperate,3.0704,2.6413,0.1413,116
1850,Faroe Islands,Europe,Polar,-2.8369,1.6196,-1.9139,3
1850,Faroe Islands,Europe,Temperate,4.4789,3.9954,-1.3298,5
1850,Fiji,Oceania,Tropical,24.6481,7.6193,1.4119,2
1850,Finland,Europe,Polar,-12.4872,0.8592,-0.2563,39
1850,Finland,Europe,Temperate,-4.1586,1.3879,-0.2496,13
1850,France,Europe,Temperate,10.8193,3.8702,0.3591,2
1850,French Guiana,South America,Tropical,26.1913,9.1522,0.9045,18
1850,French Polynesia,Oceania,Temperate,16.6675,2.7447,0.7912,45
1850,French Polynesia,Oceania,Tropical,26.1121,5.2896,-0.2332,55
1850,Gabon,Africa,Tropical,25.8748,5.2341,-0.5316,2
1850,Georgia,Asia,Temperate,8.0818,2.9147,-0.18,7
1850,Germany,Europe,Temperate,6.9159,2.5413,0.2041,1
1850,Ghana,Africa,Tropical,27.7959,0.9683,0.4319,3
1850,Greece,Europe,Temperate,17.7231,1.5289,-0.7649,3
1850,Greenland,North America,Polar,-19.7683,0.4328,-0.5341,230
1850,Greenland,North America,Temperate,-5.1203,2.8604,0.2811,22
1850,Grenada,North America,Tropical,26.2593,0.6327,-0.3155,1
1850,Guam,Oceania,Tropical,26.6691,3.6009,0.3052,4
1850,Guatemala,North America,Tropical,25.5617,1.2354,0.5321,4
1850,Guinea,Africa,Tropical,27.9429,0.0837,1.2885,1
1850,Guinea-Bissau,Africa,Tropical,26.1472,3.6404,0.8689,5
1850,Guyana,South America,Tropical,26.6501,6.0541,0.346,4
1850,Haiti,North America,Tropical,25.4582,1.0723,-0.9064,2
1850,Honduras,North America,Tropical,25.5714,1.5349,-1.5479,2
1850,Hong Kong,Asia,Temperate,17.2694,0.9709,-1.0148,1
1850,Hong Kong,Asia,Tropical,25.6483,6.4838,0.3445,1
1850,Hungary,Europe,Temperate,8.5306,1.6896,0.8726,1
1850,Iceland,Europe,Polar,-8.1245,1.5319,-0.0846,11
1850,Iceland,Europe,Temperate,4.4785,4.0643,-0.7689,19
1850,India,Asia,Temperate,27.8063,0.006,0.1256,2
1850,India,Asia,Tropical,27.1152,0.1161,0.7259,7
1850,Indonesia,Asia,Tropical,26.3564,4.6229,-0.4852,12
1850,Iran,Asia,Temperate,17.9125,2.5027,-0.5168,4
1850,Iraq,Asia,Temperate,20.4732,1.0147,1.6977,2
1850,Ireland,Europe,Temperate,10.268,5.4422,-1.1025,17
1850,Israel,Asia,Temperate,20.9095,1.1509,-0.0499,1
1850,Italy,Europe,Temperate,17.9493,1.9141,0.5451,1
1850,Ivory Coast,Africa,Tropical,26.1594,0.6014,1.5279,1
1850,Jamaica,North America,Tropical,26.3586,0.7514,-1.1772,1
1850,Japan,Asia,Temperate,6.7148,4.185,-0.1461,62
1850,Jordan,Asia,Temperate,20.3087,0.6967,1.2405,2
1850,Kazakhstan,Asia,Temperate,-0.7674,1.5664,-0.3353,25
1850,Kenya,Africa,Tropical,25.3926,0.8808,-0.3784,4
1850,Kiribati,Oceania,Temperate,19.9392,1.3684,0.9985,10
1850,Kiribati,Oceania,Tropical,26.1345,5.0963,-0.0228,42
1850,Kuwait,Asia,Temperate,24.127,1.3302,1.0338,3
1850,Kyrgyzstan,Asia,Temperate,5.8004,1.4291,-0.835,10
1850,Laos,Asia,Temperate,14.8582,1.0652,0.2478,1
1850,Laos,Asia,Tropical,23.2201,1.0701,-0.0489,2
1850,Latvia,Europe,Temperate,1.5277,1.7017,-0.5304,1
1850,Lesotho,Africa,Temperate,9.3747,3.01,-0.0487,28
1850,Liberia,Africa,Temperate,22.4198,0.613,0.0355,1
1850,Liberia,Africa,Tropical,25.8682,3.0039,-0.3579,20
1850,Libya,Africa,Temperate,23.6513,0.1643,-0.1893,6
1850,Lithuania,Europe,Temperate,3.1697,2.14,0.1767,2
1850,Macau,Asia,Temperate,18.6224,0.9203,-0.8886,3
1850,Macau,Asia,Tropical,25.2568,4.51,-0.4215,1
1850,Madagascar,Africa,Temperate,22.6078,2.3695,0.6607,4
1850,Madagascar,Africa,Tropical,24.0467,5.9837,-0.5392,4
1850,Malawi,Africa,Tropical,22.5783,3.9802,0.138,3
1850,Malaysia,Asia,Tropical,26.9663,12.5838,-0.03,8
1850,Maldives,Asia,Tropical,27.0107,9.0352,0.1252,24
1850,Mali,Africa,Tropical,30.3958,0.0316,-0.2103,3
1850,Malta,Europe,Temperate,19.8781,0.4208,-0.114,3
1850,Marshall Islands,Oceania,Temperate,17.474,4.0248,-0.5302,26
1850,Marshall Islands,Oceania,Tropical,25.7946,5.7712,-0.3403,24
1850,Mauritania,Africa,Temperate,27.9671,0.0599,-0.5832,1
1850,Mauritania,Africa,Tropical,29.5254,0.0281,-0.0961,2
1850,Mauritius,Africa,Temperate,14.9447,2.3797,0.0497,62
1850,Mauritius,Africa,Tropical,24.7127,5.474,0.0228,14
1850,Mexico,North America,Temperate,18.669,2.8223,0.6626,28
1850,Mexico,North America,Tropical,25.0629,4.1485,0.14,38
1850,Micronesia,Oceania,Tropical,26.9644,7.1066,-0.0022,10
1850,Moldova,Europe,Temperate,9.5963,2.4991,0.5681,2
1850,Monaco,Europe,Temperate,15.0645,2.6718,0.5949,2
1850,Mongolia,Asia,Temperate,-0.1372,0.8994,-0.6451,19
1850,Montserrat,North America,Tropical,25.6418,0.7653,-0.6401,1
1850,Morocco,Africa,Temperate,19.7269,0.6091,0.8521,4
1850,Mozambique,Africa,Temperate,25.4674,1.0867,0.3675,1
1850,Mozambique,Africa,Tropical,24.4085,2.2361,0.1269,3
1850,Myanmar,Asia,Temperate,13.3125,2.3684,-1.3391,2
1850,Myanmar,Asia,Tropical,25.0515,0.1421,0.2585,3
1850,Namibia,Africa,Temperate,19.1576,0.8344,0.463,20
1850,Namibia,Africa,Tropical,21.5355,1.2621,-0.0841,6
1850,Nauru,Oceania,Tropical,27.3563,3.8223,0.1709,8
1850,Nepal,Asia,Temperate,7.5175,0.4401,0.2846,8
1850,Netherlands,Europe,Temperate,7.9472,3.0121,-0.68,2
1850,New Caledonia,Oceania,Temperate,20.5491,2.2181,-0.6433,13
1850,New Caledonia,Oceania,Tropical,23.7397,1.9657,-0.6031,5
1850,New Zealand,Oceania,Temperate,8.4781,2.331,-0.5146,94
1850,Niger,Africa,Temperate,22.9283,0.2104,-0.1939,1
1850,Niger,Africa,Tropical,28.9627,0.0213,0.1299,5
1850,Nigeria,Africa,Tropical,27.4862,0.2595,-0.6471,2
1850,Niue,Oceania,Temperate,20.6201,0.5174,-0.7229,2
1850,Niue,Oceania,Tropical,23.7807,0.8827,-0.3858,2
1850,North Korea,Asia,Temperate,0.229,1.012,0.7441,20
1850,Northern Mariana Islands,Oceania,Temperate,22.3031,1.4251,0.1813,10
1850,Northern Mariana Islands,Oceania,Tropical,25.4529,1.2037,-0.1355,8
1850,Norway,Europe,Polar,-0.0069,2.667,-1.9772,2
