country,continent,mean_spi_base,mean_spi_mod,mean_temp_C_base,mean_temp_C_mod,spi_change,temp_change_C
Afghanistan,Asia,-0.21980699999999997,0.632192,14.150152,14.592711999999999,0.851999,0.4425599999999985
Albania,Europe,-0.083213,0.002435999999999985,16.013844,16.467948,0.08564899999999998,0.45410400000000095
Algeria,Africa,0.016107999999999997,-0.17007599999999998,25.313019,26.436528,-0.18618399999999996,1.1235089999999985
American Samoa,Oceania,0.09871500000000001,-0.08504399999999998,26.526453,27.010232000000002,-0.183759,0.48377900000000196
Andorra,Europe,-0.033928,0.049308,13.731575,14.167556,0.083236,0.43598099999999995
Angola,Africa,0.118206,-0.175496,24.163074,24.930096,-0.293702,0.7670219999999972
Antarctica,Antarctica,-0.076038,0.31458400000000003,-18.117664,-17.397270000000002,0.390622,0.7203939999999989
Antigua and Barbuda,North America,0.03867600000000001,-0.26028,23.894598000000002,24.308764,-0.298956,0.41416599999999804
Argentina,South America,-0.162619,0.353812,11.40571,12.11422,0.5164310000000001,0.7085100000000004
Armenia,Asia,0.043115999999999995,-0.17019599999999996,6.848203,7.29792,-0.21331199999999995,0.4497170000000006
Aruba,North America,0.10860500000000001,-0.23456,26.308748,26.777364000000002,-0.343165,0.4686160000000008
Australia,Oceania,-0.045085,0.019814000000000002,19.863083500000002,20.473181999999998,0.064899,0.6100984999999959
Austria,Europe,-0.017693000000000007,-0.064184,6.290291999999999,6.977288,-0.046491,0.6869960000000006
Azerbaijan,Asia,-0.13384600000000002,0.463136,13.002055,13.141248000000001,0.596982,0.13919300000000057
Bahamas,North America,0.049417,-0.02947600000000001,21.538823999999998,21.941812,-0.07889300000000002,0.40298800000000057
Bahrain,Asia,-0.16967100000000002,0.450172,24.490473,25.002384000000003,0.619843,0.5119110000000013
Bangladesh,Asia,-0.017569500000000002,0.215398,26.379690500000002,26.419605999999998,0.2329675,0.039915499999995774
Barbados,North America,0.0642,-0.251612,25.21011,25.674879999999998,-0.315812,0.4647699999999979
Belarus,Europe,-0.043821000000000006,0.21079599999999998,3.254547,3.7298720000000003,0.254617,0.4753250000000002
Belize,North America,0.0342595,-0.028143999999999992,25.282003500000002,25.567164000000002,-0.06240349999999999,0.28516049999999993
Benin,Africa,0.08720499999999999,-0.00056400000000002,28.194665,28.854908000000002,-0.08776900000000001,0.6602430000000012
Bermuda,North America,0.004840000000000003,-0.001828000000000003,13.529636,13.923416,-0.006668000000000006,0.3937799999999996
Bhutan,Asia,0.150034,-0.15353999999999998,1.49918,2.305448,-0.303574,0.8062680000000002
Bolivia,South America,0.013844000000000007,-0.232376,23.163235,23.77016,-0.24622,0.6069250000000004
Bosnia and Herzegovina,Europe,-0.014490999999999993,-0.02774,11.695793000000002,12.294624,-0.013249000000000007,0.5988309999999988
Botswana,Africa,0.096907,-0.5291,21.8120585,22.93667,-0.626007,1.1246115000000003
Brazil,South America,0.07884000000000001,-0.11840999999999999,24.212974,24.727274,-0.19724999999999998,0.5143000000000022
British Virgin Islands,North America,-0.023584500000000008,-0.11585200000000002,24.429658500000002,24.870608,-0.09226750000000002,0.44094949999999855
Brunei,Asia,0.006694999999999992,-0.04474800000000002,27.001542,27.473944000000003,-0.05144300000000001,0.47240200000000243
Bulgaria,Europe,-0.008978999999999992,-0.04152800000000001,12.738144,13.039639999999999,-0.032549000000000015,0.30149599999999843
Burkina Faso,Africa,-0.090966,0.341344,29.257102,30.004564000000002,0.43230999999999997,0.7474620000000023
Burundi,Africa,0.105425,-0.35510800000000003,23.572856,24.382496,-0.460533,0.8096399999999981
Cambodia,Asia,0.021662000000000004,-0.352196,27.153147,27.556296000000003,-0.373858,0.40314900000000264
Cameroon,Africa,0.115382,-0.132668,27.29719,27.907287999999998,-0.24805,0.6100979999999971
Canada,North America,-0.0015184999999999999,0.18097000000000002,-6.9436285,-6.075538,0.18248850000000003,0.8680905000000001
Cape Verde,Africa,0.063045,-0.155016,22.823614499999998,23.190700000000003,-0.218061,0.3670855000000053
Cayman Islands,North America,0.065143,-0.077572,26.314003,26.681248,-0.142715,0.3672450000000005
Central African Republic,Africa,-0.068144,0.23128,27.394549,27.989463999999998,0.299424,0.5949149999999968
Chad,Africa,-0.20776499999999998,0.665804,28.095862,28.825392,0.8735689999999999,0.7295300000000005
Chile,South America,-0.042866,0.017988,14.841983,15.27838,0.060854000000000005,0.4363969999999995
China,Asia,-0.021904,0.04673599999999999,6.308947,6.82144,0.06863999999999999,0.5124930000000001
Colombia,South America,0.23150300000000001,-0.44598,24.90807,25.641759999999998,-0.6774830000000001,0.7336899999999993
Comoros,Africa,-0.008629999999999997,-0.055608,26.7623,27.312852,-0.046978,0.5505519999999997
Cook Islands,Oceania,0.051135,-0.030329999999999996,20.8186595,21.238796,-0.081465,0.4201365000000017
Costa Rica,North America,0.006227999999999998,-0.019559999999999994,26.22963,26.828516,-0.02578799999999999,0.5988860000000003
Cuba,North America,0.132753,-0.193936,26.11045,26.493676,-0.326689,0.3832260000000005
Cyprus,Europe,0.083527,-0.16703199999999999,18.009034999999997,18.379592,-0.250559,0.3705570000000016
DR Congo,Africa,0.160773,-0.46087199999999995,26.864321,27.605504,-0.621645,0.7411829999999995
Denmark,Europe,0.0005299999999999972,0.137728,6.498524,7.111588,0.137198,0.6130640000000005
Djibouti,Africa,-0.151555,0.522188,29.087280999999997,29.730536,0.673743,0.6432550000000035
Ecuador,South America,-0.042244000000000004,-0.097336,25.353669,25.94058,-0.055092,0.5869110000000006
Egypt,Africa,-0.08576500000000001,0.13847399999999999,26.528593,27.292948000000003,0.224239,0.7643550000000019
El Salvador,North America,-0.023620000000000002,-0.04436800000000002,26.155223999999997,26.788364,-0.020748000000000016,0.6331400000000045
Equatorial Guinea,Africa,0.033366,0.09179999999999999,26.149749,26.728852000000003,0.05843399999999999,0.5791030000000035
Eritrea,Africa,-0.173511,0.595496,27.296837,27.865796,0.769007,0.5689589999999995
Estonia,Europe,0.005299000000000001,0.125292,1.9197110000000002,2.5635519999999996,0.11999299999999999,0.6438409999999994
Eswatini,Africa,-0.004239000000000004,-0.10817199999999998,21.271417,21.712828,-0.10393299999999997,0.44141099999999867
Ethiopia,Africa,-0.064851,0.20452,21.121063,21.845852,0.269371,0.7247890000000012
Falkland Islands,South America,-0.055204500000000004,0.299528,-2.971134,-2.5653300000000003,0.3547325,0.40580399999999983
Faroe Islands,Europe,-0.0652925,0.212382,0.8893800000000001,1.833682,0.2776745,0.944302
Fiji,Oceania,0.028071,-0.06915200000000002,24.78384,25.158836,-0.09722300000000002,0.37499599999999944
Finland,Europe,0.000842499999999996,0.181416,-7.2404895,-6.386848,0.1805735,0.8536415000000002
France,Europe,-0.02902399999999999,0.08540800000000001,10.753948000000001,11.307064,0.114432,0.5531159999999993
French Guiana,South America,0.07257300000000001,-0.219364,26.363924,26.947408,-0.291937,0.5834839999999986
French Polynesia,Oceania,-0.015031,0.048002,21.4009255,21.874920000000003,0.063033,0.4739945000000034
Gabon,Africa,0.07423600000000001,-0.008979999999999998,25.86466,26.466896000000002,-0.08321600000000001,0.6022360000000013
Georgia,Asia,-0.135234,0.40943199999999996,9.079559,9.27746,0.544666,0.19790099999999988
Germany,Europe,-0.027197000000000006,-0.06556799999999999,7.831859,8.509008,-0.03837099999999998,0.677149
Ghana,Africa,0.134575,-0.16331600000000002,27.689047000000002,28.316192,-0.297891,0.6271449999999987
Greece,Europe,0.037537,-0.14812,16.916815,17.37264,-0.18565700000000002,0.4558250000000008
Greenland,North America,-0.025947000000000005,0.125864,-12.227931000000002,-11.094721999999999,0.151811,1.1332090000000026
Grenada,North America,0.05157,-0.16443200000000002,26.495952000000003,26.969160000000002,-0.21600200000000003,0.47320799999999963
Guam,Oceania,0.013839000000000004,-0.034236,26.764798999999996,27.214496,-0.04807500000000001,0.449697000000004
Guatemala,North America,0.17860800000000002,-0.385308,25.568002,26.05522,-0.563916,0.4872179999999986
Guinea,Africa,0.160473,-0.282012,28.132456,29.161815999999998,-0.442485,1.029359999999997
Guinea-Bissau,Africa,0.12389099999999999,-0.291816,26.246565,26.840484,-0.415707,0.5939189999999996
Guyana,South America,0.168214,-0.361368,27.01726,27.893816,-0.529582,0.8765560000000008
Haiti,North America,0.059676,-0.11017199999999999,25.617467,26.043580000000002,-0.169848,0.42611300000000085
Honduras,North America,0.030732999999999996,-0.161052,25.485051,25.862015999999997,-0.19178499999999998,0.37696499999999844
Hong Kong,Asia,0.1145545,-0.220598,21.4426435,21.769208,-0.33515249999999996,0.3265644999999999
Hungary,Europe,0.025172999999999997,-0.11529600000000001,8.699306,9.340748,-0.140469,0.6414419999999996
Iceland,Europe,-0.014063499999999998,0.029075999999999994,-1.8933179999999998,-0.944568,0.04313949999999999,0.9487499999999999
India,Asia,-0.0675265,0.30239,27.7429115,27.412300000000002,0.3699165,-0.33061149999999984
Indonesia,Asia,0.057050000000000003,-0.10044800000000001,26.371997,26.86786,-0.15749800000000003,0.49586299999999994
Iran,Asia,-0.213922,0.577136,17.922333000000002,18.321736,0.791058,0.3994029999999995
Iraq,Asia,0.017069,-0.11390399999999999,20.386409,20.62442,-0.130973,0.2380110000000002
Ireland,Europe,-0.003216000000000003,0.05245999999999999,10.756943000000001,10.877676,0.055675999999999996,0.12073299999999776
Israel,Asia,0.011624999999999996,-0.09943199999999999,20.298338,20.5685,-0.11105699999999999,0.2701619999999991
Italy,Europe,-0.091046,-0.004287999999999998,17.082333000000002,17.503976,0.086758,0.42164299999999955
Ivory Coast,Africa,0.39614699999999997,-0.8784000000000001,26.404472000000002,27.203036,-1.274547,0.7985639999999989
Jamaica,North America,0.106114,-0.344948,26.490198,26.945744,-0.45106199999999996,0.4555460000000018
Japan,Asia,0.020697,-0.029939999999999998,6.903629,7.598447999999999,-0.050637,0.6948189999999999
Jordan,Asia,0.08546899999999999,-0.26358,20.096647,20.890428,-0.34904899999999994,0.7937809999999992
Kazakhstan,Asia,-0.188477,0.45407600000000004,0.668669,1.3333959999999998,0.642553,0.6647269999999998
Kenya,Africa,-0.080946,0.24022400000000002,25.682907,26.254787999999998,0.32117,0.5718809999999976
Kiribati,Oceania,-0.0006255000000000055,0.04067999999999999,23.065761499999997,23.513085999999998,0.041305499999999995,0.44732450000000057
Kuwait,Asia,-0.083209,0.27232,24.371280000000002,25.051132,0.355529,0.6798519999999968
Kyrgyzstan,Asia,-0.306085,0.765228,6.211874,6.7161919999999995,1.071313,0.5043179999999996
Laos,Asia,0.053180500000000006,-0.38674800000000004,19.354892,19.67734,-0.43992850000000006,0.3224480000000014
Latvia,Europe,-0.037365999999999996,0.09237999999999999,3.718534,4.216272,0.12974599999999997,0.497738
Lesotho,Africa,0.0025760000000000015,0.15434799999999999,9.447809,9.879692,0.151772,0.4318830000000009
Liberia,Africa,-0.019105499999999997,0.067428,23.8590355,24.354352,0.0865335,0.4953164999999977
Libya,Africa,-0.029934,-0.038435999999999984,23.186774,24.1738,-0.008501999999999985,0.9870260000000002
Lithuania,Europe,0.02941,-0.073648,5.203434,5.7402239999999995,-0.10305800000000001,0.5367899999999999
Macau,Asia,0.0870505,-0.27642,22.087431000000002,22.388238,-0.36347050000000003,0.30080699999999894
Madagascar,Africa,0.022740000000000003,-0.06385199999999999,23.472788,23.983708,-0.086592,0.5109199999999987
Malawi,Africa,0.169732,-0.57638,22.810135,23.841012,-0.746112,1.0308770000000003
Malaysia,Asia,0.000921000000000003,-0.068972,27.090889,27.561972,-0.06989300000000001,0.47108300000000014
Maldives,Asia,-0.038192,0.144572,27.078884,27.593463999999997,0.182764,0.5145799999999987
Mali,Africa,-0.03549,0.03193199999999999,30.179186,31.186788,0.06742199999999998,1.0076019999999986
Malta,Europe,0.004714000000000003,-0.09075199999999999,18.996461999999998,19.434964,-0.095466,0.4385020000000033
