year,climate_zone,continent,mean_temp_C,mean_pr_mm_day,mean_spi
1850,Polar,Antarctica,-34.3971,0.5159,-0.118
1850,Polar,Asia/Europe,-18.3168,0.4115,-0.454
1850,Polar,Europe,-10.6344,1.101,-0.3749
1850,Polar,North America,-18.9413,0.4557,-0.4037
1850,Polar,South America,-8.693,1.4731,0.5117
1850,Temperate,Africa,14.3591,1.8645,0.1589
1850,Temperate,Antarctica,-2.388,2.316,0.0574
1850,Temperate,Asia,8.4815,2.1023,-0.1471
1850,Temperate,Asia/Europe,-9.9228,0.8117,0.1015
1850,Temperate,Europe,7.7359,3.4381,-0.384
1850,Temperate,North America,6.7595,3.1711,0.1146
1850,Temperate,Oceania,14.2079,2.2693,-0.1148
1850,Temperate,South America,9.4293,2.445,-0.0442
1850,Tropical,Africa,25.8718,2.79,0.0004
1850,Tropical,Asia,26.5693,5.325,-0.0379
1850,Tropical,North America,25.4494,2.731,-0.1262
1850,Tropical,Oceania,26.1137,5.5218,0.0012
1850,Tropical,South America,24.9348,4.9181,0.0496
1851,Polar,Antarctica,-33.8193,0.6664,-0.2364
1851,Polar,Asia/Europe,-16.7979,0.7812,-0.2777
1851,Polar,Europe,-10.7133,1.3426,-0.3345
1851,Polar,North America,-19.3688,0.6171,-0.6253
1851,Polar,South America,-8.974,1.5876,0.0611
1851,Temperate,Africa,14.2977,2.2263,-0.1012
1851,Temperate,Antarctica,-2.2467,2.6168,-0.0479
1851,Temperate,Asia,8.4008,2.4183,-0.1354
1851,Temperate,Asia/Europe,-8.7721,1.3969,-0.1736
1851,Temperate,Europe,8.4194,2.6113,-0.2219
1851,Temperate,North America,6.5211,2.5855,0.151
1851,Temperate,Oceania,14.2425,2.6536,-0.1523
1851,Temperate,South America,9.3157,2.6537,0.0334
1851,Tropical,Africa,25.7396,2.6541,-0.0734
1851,Tropical,Asia,26.7358,4.2145,-0.1802
1851,Tropical,North America,25.4284,3.2451,-0.1048
1851,Tropical,Oceania,26.1575,5.7457,0.098
1851,Tropical,South America,24.8216,3.6498,0.2101
1852,Polar,Antarctica,-34.246,0.701,0.4348
1852,Polar,Asia/Europe,-17.685,0.8302,0.1482
1852,Polar,Europe,-9.8912,1.5209,-0.2496
1852,Polar,North America,-19.0646,0.6371,-0.3686
1852,Polar,South America,-8.7803,1.6901,-0.6984
1852,Temperate,Africa,14.3373,2.3329,0.1176
1852,Temperate,Antarctica,-1.9884,2.6446,-0.3432
1852,Temperate,Asia,9.1068,2.4477,-0.1733
1852,Temperate,Asia/Europe,-9.0696,1.3378,0.1243
1852,Temperate,Europe,8.6633,2.6238,0.0727
1852,Temperate,North America,6.5615,2.5866,0.119
1852,Temperate,Oceania,14.2758,2.4724,-0.2958
1852,Temperate,South America,9.3355,2.6437,0.0525
1852,Tropical,Africa,26.0301,2.6251,0.1458
1852,Tropical,Asia,26.754,4.0913,-0.5891
1852,Tropical,North America,26.0568,3.628,0.0421
1852,Tropical,Oceania,26.3163,5.8674,0.0519
1852,Tropical,South America,25.3701,3.5375,-0.2038
1853,Polar,Antarctica,-33.5652,0.7081,0.5836
1853,Polar,Asia/Europe,-17.1284,0.8043,0.1312
1853,Polar,Europe,-11.0773,1.3498,0.4972
1853,Polar,North America,-18.8952,0.6334,-0.5278
1853,Polar,South America,-9.5185,1.5997,-0.5623
1853,Temperate,Africa,14.443,2.251,0.1903
1853,Temperate,Antarctica,-1.9369,2.658,-0.062
1853,Temperate,Asia,9.0399,2.3215,-0.1464
1853,Temperate,Asia/Europe,-8.7078,1.4512,-0.2109
1853,Temperate,Europe,8.3618,2.6887,0.0781
1853,Temperate,North America,6.6649,2.6184,0.0438
1853,Temperate,Oceania,14.1516,2.5646,-0.4016
1853,Temperate,South America,9.3402,2.6647,0.0492
1853,Tropical,Africa,26.0995,2.6834,0.0971
1853,Tropical,Asia,26.7824,4.4438,-0.3848
1853,Tropical,North America,25.6593,3.1338,-0.0509
1853,Tropical,Oceania,26.2993,5.7617,-0.0278
1853,Tropical,South America,25.2542,3.6542,-0.0691
1854,Polar,Antarctica,-34.6603,0.6314,0.038
1854,Polar,Asia/Europe,-19.6219,0.814,0.2695
1854,Polar,Europe,-12.9077,1.2074,-1.2355
1854,Polar,North America,-19.6883,0.6397,0.135
1854,Polar,South America,-8.6299,1.7302,-0.4301
1854,Temperate,Africa,14.2172,2.2172,-0.004
1854,Temperate,Antarctica,-2.2429,2.6617,-0.2508
1854,Temperate,Asia,8.8679,2.3554,-0.2893
1854,Temperate,Asia/Europe,-10.1994,1.4949,0.5805
1854,Temperate,Europe,7.527,2.5818,-0.0033
1854,Temperate,North America,6.3197,2.452,-0.06
1854,Temperate,Oceania,14.1185,2.6663,-0.1253
1854,Temperate,South America,9.4713,2.5497,-0.1021
1854,Tropical,Africa,25.7531,2.827,0.1291
1854,Tropical,Asia,26.6222,5.0493,0.1363
1854,Tropical,North America,25.0138,3.1031,-0.2659
1854,Tropical,Oceania,25.9116,5.2963,0.0917
1854,Tropical,South America,24.4919,3.798,0.2024
1855,Polar,Antarctica,-33.8517,0.6362,-0.3432
1855,Polar,Asia/Europe,-17.6847,0.8663,0.6519
1855,Polar,Europe,-12.2323,1.545,0.289
1855,Polar,North America,-20.1678,0.6748,0.3426
1855,Polar,South America,-8.3691,1.7347,0.0098
1855,Temperate,Africa,14.1875,2.2587,-0.1419
1855,Temperate,Antarctica,-2.2597,2.5634,-0.2956
1855,Temperate,Asia,8.9242,2.2942,-0.5132
1855,Temperate,Asia/Europe,-8.348,1.3637,0.161
1855,Temperate,Europe,8.6783,2.6555,0.0449
1855,Temperate,North America,6.6078,2.5402,-0.1966
1855,Temperate,Oceania,14.2891,2.7323,0.0775
1855,Temperate,South America,9.4609,2.6198,-0.0187
1855,Tropical,Africa,25.593,2.5067,0.1327
1855,Tropical,Asia,26.1798,4.4768,0.376
1855,Tropical,North America,25.2448,3.0018,-0.2424
1855,Tropical,Oceania,25.868,5.6208,0.1682
1855,Tropical,South America,24.5259,3.7763,0.2629
1856,Polar,Antarctica,-33.6748,0.6498,0.2432
1856,Polar,Asia/Europe,-17.5835,0.8148,0.1924
1856,Polar,Europe,-8.9875,1.6085,0.8539
1856,Polar,North America,-18.8721,0.6625,0.1169
1856,Polar,South America,-10.3303,1.5981,-0.0352
1856,Temperate,Africa,14.4317,2.3304,0.044
1856,Temperate,Antarctica,-2.1738,2.6534,-0.427
1856,Temperate,Asia,8.8524,2.4003,-0.1891
1856,Temperate,Asia/Europe,-9.9265,1.4089,-0.0527
1856,Temperate,Europe,8.846,2.6524,0.1699
1856,Temperate,North America,6.9262,2.5772,-0.0742
1856,Temperate,Oceania,14.2839,2.5784,-0.1574
1856,Temperate,South America,9.26,2.7436,0.2266
1856,Tropical,Africa,25.9269,2.5241,-0.1299
1856,Tropical,Asia,26.6358,4.2653,-0.2271
1856,Tropical,North America,26.0353,3.6185,-0.1772
1856,Tropical,Oceania,26.261,5.9042,0.0034
1856,Tropical,South America,25.3463,3.4093,-0.0083
1857,Polar,Antarctica,-34.1686,0.6517,-0.2066
1857,Polar,Asia/Europe,-17.831,0.7957,0.105
1857,Polar,Europe,-10.8665,1.325,-0.0307
1857,Polar,North America,-18.5011,0.6603,0.1036
1857,Polar,South America,-8.6384,1.7251,-0.7009
1857,Temperate,Africa,14.399,2.2464,0.2418
1857,Temperate,Antarctica,-2.4783,2.7313,-0.028
1857,Temperate,Asia,9.4078,2.5282,0.2467
1857,Temperate,Asia/Europe,-8.9018,1.4013,0.2523
1857,Temperate,Europe,8.4867,2.6944,0.1991
1857,Temperate,North America,6.6631,2.5787,0.0827
1857,Temperate,Oceania,14.0958,2.5795,0.0311
1857,Temperate,South America,9.4386,2.6666,0.1381
1857,Tropical,Africa,26.2053,2.5131,0.0737
1857,Tropical,Asia,26.9281,4.7096,-0.101
1857,Tropical,North America,26.1692,4.1972,0.2476
1857,Tropical,Oceania,26.3276,5.3793,-0.2043
1857,Tropical,South America,25.8097,3.5617,-0.4102
1858,Polar,Antarctica,-33.8333,0.6565,-0.0836
1858,Polar,Asia/Europe,-16.5285,0.8107,0.1725
1858,Polar,Europe,-9.5351,1.6021,0.5485
1858,Polar,North America,-17.8205,0.6835,0.2836
1858,Polar,South America,-8.4242,1.7912,0.661
1858,Temperate,Africa,14.2908,2.3403,0.0655
1858,Temperate,Antarctica,-2.5884,2.5798,-0.0623
1858,Temperate,Asia,8.7814,2.4005,-0.0311
1858,Temperate,Asia/Europe,-8.3423,1.3674,0.0326
1858,Temperate,Europe,8.5656,2.5674,0.1323
1858,Temperate,North America,6.7894,2.5352,0.0333
1858,Temperate,Oceania,14.1861,2.5901,-0.1162
1858,Temperate,South America,9.4471,2.6296,-0.0639
1858,Tropical,Africa,26.084,2.6438,-0.2373
1858,Tropical,Asia,26.7219,4.3682,-0.0062
1858,Tropical,North America,25.5575,3.3231,0.2916
1858,Tropical,Oceania,26.3628,5.7663,-0.0053
1858,Tropical,South America,25.2997,3.525,-0.2946
1859,Polar,Antarctica,-34.7479,0.6056,-0.1094
1859,Polar,Asia/Europe,-17.3332,0.7522,-0.3504
1859,Polar,Europe,-8.5613,1.4431,0.7044
1859,Polar,North America,-18.6699,0.7016,0.6827
1859,Polar,South America,-10.0378,1.7247,0.2353
1859,Temperate,Africa,14.2722,2.175,-0.0235
1859,Temperate,Antarctica,-2.6727,2.7335,-0.2435
1859,Temperate,Asia,8.6995,2.4711,0.0393
1859,Temperate,Asia/Europe,-9.7035,1.3041,-0.825
1859,Temperate,Europe,8.7253,2.6301,-0.2768
1859,Temperate,North America,6.7485,2.4546,-0.1622
1859,Temperate,Oceania,14.1629,2.7162,-0.0443
1859,Temperate,South America,9.4123,2.568,0.0987
1859,Tropical,Africa,25.7854,2.5716,-0.1005
1859,Tropical,Asia,26.6775,5.0215,-0.0382
1859,Tropical,North America,24.9002,3.1843,-0.0797
1859,Tropical,Oceania,25.885,5.3663,0.1594
1859,Tropical,South America,24.5132,3.8587,0.1412
1860,Polar,Antarctica,-35.2147,0.6051,-0.7892
1860,Polar,Asia/Europe,-17.6841,0.8026,0.1721
1860,Polar,Europe,-10.5143,1.3983,0.0204
1860,Polar,North America,-19.39,0.6648,0.267
1860,Polar,South America,-9.1897,1.7081,0.1465
1860,Temperate,Africa,14.5287,2.1521,-0.3929
1860,Temperate,Antarctica,-2.4676,2.697,0.3367
1860,Temperate,Asia,8.9749,2.3897,-0.1172
1860,Temperate,Asia/Europe,-9.4755,1.4732,0.2707
1860,Temperate,Europe,8.5068,2.5949,0.126
1860,Temperate,North America,6.575,2.5203,-0.2592
1860,Temperate,Oceania,14.1238,2.833,0.2593
1860,Temperate,South America,9.287,2.5755,0.1505
1860,Tropical,Africa,25.2027,2.5085,-0.1723
1860,Tropical,Asia,26.1955,5.2967,0.6954
1860,Tropical,North America,24.6538,3.0326,-0.149
1860,Tropical,Oceania,25.481,5.0464,0.0344
1860,Tropical,South America,23.9202,3.8771,0.4385
1861,Polar,Antarctica,-34.6832,0.6578,-0.6366
1861,Polar,Asia/Europe,-16.7396,0.8924,0.7684
1861,Polar,Europe,-9.9479,1.4444,0.1574
1861,Polar,North America,-19.7415,0.6206,-0.1853
1861,Polar,South America,-10.0984,1.6115,-0.4245
1861,Temperate,Africa,14.5559,2.2038,-0.1942
1861,Temperate,Antarctica,-1.9727,2.6624,0.0963
1861,Temperate,Asia,9.2166,2.3028,-0.2868
1861,Temperate,Asia/Europe,-8.5797,1.4133,0.4134
1861,Temperate,Europe,8.3972,2.6908,0.1151
1861,Temperate,North America,6.3683,2.5781,-0.0496
1861,Temperate,Oceania,14.2166,2.6885,0.0819
1861,Temperate,South America,8.868,2.5856,-0.1153
1861,Tropical,Africa,25.5856,2.5788,-0.093
1861,Tropical,Asia,26.3395,4.3411,0.294
1861,Tropical,North America,25.5467,3.2411,-0.0761
1861,Tropical,Oceania,25.9932,5.7321,0.0596
1861,Tropical,South America,24.6451,3.6242,0.1019
1862,Polar,Antarctica,-34.6418,0.6143,-0.4983
1862,Polar,Asia/Europe,-17.3201,0.8019,0.4289
1862,Polar,Europe,-10.3488,1.4242,-0.4728
1862,Polar,North America,-17.0727,0.6578,-0.2381
1862,Polar,South America,-10.4064,1.5036,-1.0851
1862,Temperate,Africa,14.3571,2.3521,0.1435
1862,Temperate,Antarctica,-2.0192,2.6289,-0.2658
1862,Temperate,Asia,8.792,2.4551,-0.0744
1862,Temperate,Asia/Europe,-8.692,1.2855,-0.4377
1862,Temperate,Europe,8.2699,2.7653,0.351
1862,Temperate,North America,6.9559,2.6406,0.1487
1862,Temperate,Oceania,14.0945,2.5352,-0.0595
1862,Temperate,South America,8.9092,2.6483,-0.1924
1862,Tropical,Africa,26.1551,2.5414,-0.0658
1862,Tropical,Asia,26.8875,3.9385,-0.5388
1862,Tropical,North America,26.1983,4.091,-0.0044
1862,Tropical,Oceania,26.3151,5.7928,-0.0276
1862,Tropical,South America,25.925,3.4265,-0.4135
1863,Polar,Antarctica,-34.3109,0.6629,-0.3455
1863,Polar,Asia/Europe,-17.6348,0.809,0.1834
1863,Polar,Europe,-10.0441,1.5042,0.614
1863,Polar,North America,-19.1804,0.6595,0.3781
1863,Polar,South America,-8.715,1.8269,-0.2862
1863,Temperate,Africa,14.2736,2.1975,0.0584
1863,Temperate,Antarctica,-2.3406,2.6456,-0.1844
1863,Temperate,Asia,9.0264,2.4745,0.0086
1863,Temperate,Asia/Europe,-8.3386,1.2844,-0.5169
1863,Temperate,Europe,8.5326,2.6343,0.5421
1863,Temperate,North America,6.9601,2.4644,-0.0274
1863,Temperate,Oceania,14.3321,2.6399,-0.0475
1863,Temperate,South America,9.2472,2.5867,-0.0978
1863,Tropical,Africa,26.0511,2.6398,0.1556
1863,Tropical,Asia,26.8927,5.0462,-0.1847
1863,Tropical,North America,25.3904,3.7296,0.4238
1863,Tropical,Oceania,26.0634,5.2442,-0.1994
1863,Tropical,South America,25.1099,3.851,0.06
1864,Polar,Antarctica,-34.3689,0.6254,-0.1918
1864,Polar,Asia/Europe,-17.6058,0.7897,-0.0261
1864,Polar,Europe,-11.3752,1.4348,0.3025
1864,Polar,North America,-20.2319,0.6587,-0.1252
1864,Polar,South America,-8.9602,1.7727,0.1336
1864,Temperate,Africa,14.1006,2.1475,-0.4171
1864,Temperate,Antarctica,-2.3585,2.6385,-0.344
1864,Temperate,Asia,9.0912,2.4153,-0.2104
1864,Temperate,Asia/Europe,-8.0063,1.4863,0.0569
1864,Temperate,Europe,8.1233,2.4684,-0.1788
1864,Temperate,North America,6.361,2.4332,-0.1288
1864,Temperate,Oceania,14.2338,2.8203,0.3105
1864,Temperate,South America,9.3787,2.5492,-0.2588
1864,Tropical,Africa,25.3626,2.7228,0.175
1864,Tropical,Asia,26.2981,5.3201,0.7269
1864,Tropical,North America,24.7569,3.1218,0.1051
1864,Tropical,Oceania,25.5605,5.021,-0.0688
1864,Tropical,South America,24.1805,3.7175,0.3005
1865,Polar,Antarctica,-34.3247,0.6242,-0.5176
1865,Polar,Asia/Europe,-17.1274,0.7522,-0.2967
1865,Polar,Europe,-10.9771,1.2993,-0.1812
1865,Polar,North America,-18.8373,0.6134,-0.068
1865,Polar,South America,-8.653,1.8838,0.7751
1865,Temperate,Africa,14.1996,2.1773,-0.3655
1865,Temperate,Antarctica,-2.7562,2.6189,-0.2678
1865,Temperate,Asia,8.5858,2.3177,-0.2153
1865,Temperate,Asia/Europe,-8.9185,1.2779,-0.2535
1865,Temperate,Europe,8.1979,2.6481,-0.4471
1865,Temperate,North America,6.4918,2.5866,0.0159
1865,Temperate,Oceania,14.2349,2.7788,0.2695
1865,Temperate,South America,9.2929,2.5858,-0.1612
1865,Tropical,Africa,25.5404,2.6344,0.2956
1865,Tropical,Asia,26.318,4.7635,0.5244
1865,Tropical,North America,25.1474,3.1196,-0.1071
1865,Tropical,Oceania,25.9103,5.4009,0.0315
1865,Tropical,South America,24.4694,3.7085,0.2493
