country,continent,spi_slope_modern
Madagascar,Africa,-0.047302
Wallis and Futuna,Oceania,-0.041351076923076935
Honduras,North America,-0.03852215384615386
Malawi,Africa,-0.034850384615384616
Monaco,Europe,-0.03419576923076923
Brunei,Asia,-0.03411653846153846
Andorra,Europe,-0.03405484615384616
Sao Tome and Principe,Africa,-0.03153338461538462
Angola,Africa,-0.030854461538461546
Vanuatu,Oceania,-0.029595153846153854
Cayman Islands,North America,-0.02850992307692308
Fiji,Oceania,-0.028471923076923072
American Samoa,Oceania,-0.027637615384615382
Marshall Islands,Oceania,-0.027049461538461536
Cameroon,Africa,-0.02684515384615385
Nigeria,Africa,-0.02569569230769231
Comoros,Africa,-0.025385846153846155
Tonga,Oceania,-0.024882076923076927
Antigua and Barbuda,North America,-0.024488923076923078
Samoa,Oceania,-0.02435623076923077
Ireland,Europe,-0.024337923076923083
United Kingdom,Europe,-0.023554692307692308
Burundi,Africa,-0.02321507692307693
Jamaica,North America,-0.02137546153846154
Norway,Europe,-0.020451153846153848
Palau,Oceania,-0.01942746153846154
Spain,Europe,-0.01916376923076923
Philippines,Asia,-0.01861538461538461
France,Europe,-0.017452153846153846
Bahrain,Asia,-0.01709323076923077
Guinea,Africa,-0.016722153846153845
Ghana,Africa,-0.01657430769230769
Namibia,Africa,-0.015929307692307694
Guatemala,North America,-0.015663153846153847
Oman,Asia,-0.015592307692307695
Belize,North America,-0.015564807692307689
Uganda,Africa,-0.015290769230769231
Liberia,Africa,-0.015136384615384616
Mexico,North America,-0.014814653846153845
Guam,Oceania,-0.014420307692307698
Benin,Africa,-0.014323076923076921
Canada,North America,-0.014228153846153847
Togo,Africa,-0.013371461538461537
DR Congo,Africa,-0.012657846153846151
Estonia,Europe,-0.0125
Kiribati,Oceania,-0.012498192307692307
Kuwait,Asia,-0.012463923076923079
Solomon Islands,Oceania,-0.012342923076923081
Tanzania,Africa,-0.011816384615384616
New Caledonia,Oceania,-0.011371307692307691
Denmark,Europe,-0.010964153846153846
South Sudan,Africa,-0.010750384615384617
Switzerland,Europe,-0.010518692307692304
Sweden,Europe,-0.010094923076923078
Mozambique,Africa,-0.009788576923076924
Iran,Asia,-0.009312846153846154
Micronesia,Oceania,-0.009270384615384614
Rwanda,Africa,-0.009142384615384611
Zambia,Africa,-0.008841230769230766
United Arab Emirates,Asia,-0.008361461538461536
Libya,Africa,-0.008239076923076922
Iraq,Asia,-0.008231846153846157
Northern Mariana Islands,Oceania,-0.007066576923076925
Republic of the Congo,Africa,-0.006917692307692306
Australia,Oceania,-0.006864461538461538
Mauritius,Africa,-0.0068285384615384605
Central African Republic,Africa,-0.006356307692307692
Maldives,Asia,-0.005830230769230769
Gabon,Africa,-0.005616153846153849
Sri Lanka,Asia,-0.0052533076923076925
Iceland,Europe,-0.004473153846153844
Argentina,South America,-0.004313384615384614
Ivory Coast,Africa,-0.003547999999999998
Brazil,South America,-0.0027209615384615397
Guinea-Bissau,Africa,-0.0024180769230769234
Faroe Islands,Europe,-0.0024171923076923103
Barbados,North America,-0.0023313846153846175
Bermuda,North America,-0.0019335384615384611
Bahamas,North America,-0.0017716153846153873
Aruba,North America,-0.001706307692307692
Cambodia,Asia,-0.001260846153846152
Timor-Leste,Asia,-0.0011037692307692324
Afghanistan,Asia,-0.0008346153846153825
French Guiana,South America,-0.0008201538461538436
Chile,South America,-0.00014161538461538592
Haiti,North America,-3.415384615384512e-05
Peru,South America,0.00013815384615384598
Cape Verde,Africa,0.00026426923076922906
French Polynesia,Oceania,0.00031538461538461543
Equatorial Guinea,Africa,0.0004218461538461518
Niue,Oceania,0.0007198846153846177
Laos,Asia,0.0007740384615384626
Venezuela,South America,0.001995538461538465
Albania,Europe,0.002044461538461541
Panama,North America,0.0020961538461538452
Malta,Europe,0.002232923076923079
Russia,Asia/Europe,0.0024479615384615395
Malaysia,Asia,0.0024651538461538483
Myanmar,Asia,0.002573769230769232
Bulgaria,Europe,0.003058461538461537
Netherlands,Europe,0.0032172307692307687
Sudan,Africa,0.0032933846153846173
Italy,Europe,0.003357923076923077
Sierra Leone,Africa,0.0033629230769230776
Senegal,Africa,0.003433846153846155
British Virgin Islands,North America,0.003594153846153846
Indonesia,Asia,0.003921230769230769
Vietnam,Asia,0.0040217692307692315
Cook Islands,Oceania,0.00419176923076923
Nepal,Asia,0.004365230769230771
Singapore,Asia,0.004409
Seychelles,Africa,0.00465176923076923
Morocco,Africa,0.005115076923076925
Uruguay,South America,0.005530615384615384
Djibouti,Africa,0.005651461538461544
Austria,Europe,0.006260384615384613
Mali,Africa,0.00648076923076923
Bangladesh,Asia,0.0066320384615384635
South Africa,Africa,0.006824307692307693
Cuba,North America,0.006896153846153844
Suriname,South America,0.007667307692307688
Antarctica,Antarctica,0.007834384615384615
Chad,Africa,0.008647461538461538
Finland,Europe,0.008753384615384614
Western Sahara,Africa,0.00882546153846154
Thailand,Asia,0.008883230769230767
Papua New Guinea,Oceania,0.008886846153846153
Paraguay,South America,0.009145307692307694
Egypt,Africa,0.009429461538461541
Israel,Asia,0.009440076923076923
Yemen,Asia,0.009770538461538462
Puerto Rico,North America,0.010047
North Korea,Asia,0.010150615384615386
Greece,Europe,0.01019676923076923
Bhutan,Asia,0.010735846153846153
El Salvador,North America,0.010772307692307694
Jordan,Asia,0.011017538461538464
Tuvalu,Oceania,0.011094538461538461
Hong Kong,Asia,0.011241346153846152
Greenland,North America,0.011463269230769232
Grenada,North America,0.011846923076923078
Colombia,South America,0.011857769230769234
Lithuania,Europe,0.012967076923076923
Bolivia,South America,0.013103076923076922
China,Asia,0.013163538461538461
New Zealand,Oceania,0.013250615384615385
Burkina Faso,Africa,0.013267999999999999
Niger,Africa,0.013323769230769233
Portugal,Europe,0.013446461538461536
Ecuador,South America,0.013656153846153846
Cyprus,Europe,0.014196230769230765
Syria,Asia,0.014302461538461538
Kazakhstan,Asia,0.014643615384615385
Guyana,South America,0.01468053846153846
Falkland Islands,South America,0.014844961538461541
Somalia,Africa,0.015319615384615383
Costa Rica,North America,0.015471076923076924
